"submission_date","state","tot_cases","new_case","tot_death","new_death"
2022-05-20,"AK","249522","0.0","1252","0.0"
2022-05-20,"AL","1308412","529.0","19649","4.0"
2022-05-20,"AR","840151","315.0","11432","6.0"
2022-05-20,"AZ","2038129","0.0","30259","0.0"
2022-05-20,"CA","9437716","52405.0","90382","163.0"
2022-05-20,"CO","1418901","2154.0","12519","4.0"
2022-05-20,"CT","797616","2124.0","10926","4.0"
2022-05-20,"DC","147210","306.0","1342","0.0"
2022-05-20,"DE","271294","803.0","2939","3.0"
2022-05-20,"FL","6067606","9365.0","74322","0.0"
2022-05-20,"GA","2541713","0.0","38157","0.0"
2022-05-20,"HI","258781","0.0","1434","0.0"
2022-05-20,"IA","773855","1357.0","9572","0.0"
2022-05-20,"ID","449265","511.0","4936","0.0"
2022-05-20,"IL","3249534","4692.0","38068","12.0"
2022-05-20,"IN","1721977","3483.0","23681","19.0"
2022-05-20,"KS","782802","0.0","8802","0.0"
2022-05-20,"KY","1346098","1732.0","15892","17.0"
2022-05-20,"LA","1183889","944.0","17313","4.0"
2022-05-20,"MA","1840292","4627.0","20478","10.0"
2022-05-20,"MD","1070205","2184.0","14555","4.0"
2022-05-20,"ME","259058","791.0","2343","5.0"
2022-05-20,"MI","2501863","0.0","36218","0.0"
2022-05-20,"MN","1492863","2418.0","12887","3.0"
2022-05-20,"MO","1440814","7332.0","20454","37.0"
2022-05-20,"MS","804123","360.0","12465","3.0"
2022-05-20,"MT","275113","0.0","3381","0.0"
2022-05-20,"NC","2717791","0.0","24631","0.0"
2022-05-20,"ND","243345","139.0","2276","0.0"
2022-05-20,"NE","484085","0.0","4240","0.0"
2022-05-20,"NH","321042","597.0","2520","5.0"
2022-05-20,"NJ","2347382","6132.0","33603","8.0"
2022-05-20,"NM","529336","637.0","7675","11.0"
2022-05-20,"NV","730666","1902.0","10829","5.0"
2022-05-20,"NY","2890549","6217.0","27790","17.0"
2022-05-20,"OH","2743577","0.0","38590","0.0"
2022-05-20,"OK","1047216","857.0","14419","0.0"
2022-05-20,"OR","749722","2380.0","7586","6.0"
2022-05-20,"PA","2887716","5342.0","44923","0.0"
2022-05-20,"RI","368017","872.0","3562","1.0"
2022-05-20,"SC","1487728","0.0","17891","0.0"
2022-05-20,"SD","239110","0.0","2919","0.0"
2022-05-20,"TN","2049117","1633.0","26369","59.0"
2022-05-20,"TX","6805220","4905.0","86758","8.0"
2022-05-20,"UT","943368","0.0","4765","0.0"
2022-05-20,"VA","1759114","3823.0","20339","1.0"
2022-05-20,"VT","121088","0.0","623","0.0"
2022-05-20,"WA","1552956","8837.0","12863","30.0"
2022-05-20,"WI","1654808","2440.0","14531","13.0"
2022-05-20,"WV","509251","713.0","6915","3.0"
2022-05-20,"WY","157409","0.0","1820","0.0"
